Name,District,Transportation
Kirtipur,Kathmandu,"From Kathmandu, drive southwest to Kirtipur, a historic hill town."
Sangachok Village,Kavrepalanchok,"From Kathmandu, drive east via Bhaktapur to reach Sangachok village."
Nagadesh Temple,Lalitpur,"From Kathmandu, drive east via Bhaktapur to reach Nagadesh Temple."
Sankhu,Kathmandu,"From Kathmandu, drive northeast via Bhaktapur to reach Sankhu village."
Khokana,Lalitpur,"From Kathmandu, drive south via Patan to reach Khokana village."
Mahankal Temple,Kathmandu,"From Kathmandu, drive south or southwest via Lalitpur to reach Mahankal Temple."
Chandeshwori Temple,Chitwan,"From Kathmandu, drive southeast via Banepa to visit Chandeshwori Temple."
Balkumari Temple,Lalitpur,"From Kathmandu, drive south via Patan to reach Balkumari Temple."
Sindhuligadhi,Sindhuli,"From Kathmandu, drive southeast via Charikot and Sindhuli Bazaar to reach Sindhuligadhi."
Manakamana Temple,Gorkha,"From Kathmandu, drive to Kurintar in Chitwan District, then take the cable car to reach Manakamana Temple."
Netra Lake,Dhading,"From Kathmandu, drive southwest via Hetauda and reach Netra Lake near Chitwan National Park."
Tau Daha,Kathmandu,"From Kathmandu, drive south via Hetauda and Chitwan District to reach Tau Daha, a serene local lake."
Bungamati,Lalitpur,"From Kathmandu, drive southwest to Lalitpur and visit Bungamati village known for its traditional Newar culture."
Gosaikunda Lake,Rasuwa,"From Kathmandu, drive north to Dhunche, then trek to Gosaikunda Lake in Rasuwa District."
Daman,Makwanpur,"From Kathmandu, drive south via Hetauda and Kulekhani to reach Daman for panoramic Himalayan views."
Phulchowki,Lalitpur,"From Kathmandu, drive south to Godavari or Chapagaun to reach Phulchowki hill viewpoints."
Dhulikhel,Kavrepalanchok,"From Kathmandu, drive east to Dhulikhel for Himalayan vistas and local temples."
Chandragiri Hills,Kathmandu,"From Kathmandu, drive southwest via Thankot to reach Chandragiri Hills and take the cable car."
Chhahare Waterfall,Nuwakot,"From Kathmandu, drive southwest via Godavari or Chapagaun to reach Chhahare Waterfall."
Indrasarovar Lake,Nuwakot,"From Kathmandu, drive northeast via Nuwakot to reach Indrasarovar Lake."
Pashupatinath Temple,Kathmandu,"From Kathmandu, head east within the city to reach the sacred Pashupatinath Temple."
Chitwan National Park,Chitwan,"From Kathmandu, drive south via Mugling and Tandi to reach Chitwan National Park."
Dhading Hidden Village Trail,Dhading,"From Kathmandu, drive northwest via Naubise to Dhading District, then trek along the hidden village trail."
Boudhanath Stupa,Kathmandu,"Within Kathmandu, drive northeast to Boudhanath Stupa."
Swayambhunath Stupa (Monkey Temple),Kathmandu,"Within Kathmandu, drive west to Swayambhunath Stupa."
Pharping,Kathmandu,"From Kathmandu, drive south via Kirtipur to Pharping for Buddhist meditation sites."
Nuwakot Palace,Nuwakot,"From Kathmandu, drive north via Tokha and Bidur to reach Nuwakot Palace."
Siddhi Ganesh Temple,Kathmandu,"From Kathmandu, drive southwest to Chobhar to reach Siddhi Ganesh Temple."
Seto Machhendranath Temple,Kathmandu,"From Kathmandu, drive to Patan city to visit Seto Machhendranath Temple."
Thimi,Bhaktapur,"From Kathmandu, drive southeast to Thimi town near Patan for traditional temples."
Rolwaling Valley,Dolakha,"From Kathmandu, drive to Jagat in Dolakha District, then trek to Rolwaling Valley."
Kalinchowk Bhagwati,Dolakha,"From Kathmandu, drive northeast via Charikot to reach Dolakha District and trek to Kalinchowk Bhagwati Temple."
Nagarkot Viewpoint,Bhaktapur,"From Kathmandu, drive east to Nagarkot for panoramic Himalayan views."
Langtang Valley Upper Trek,Rasuwa,"From Kathmandu, drive north via Sundarijal and Syabrubesi, then trek into Langtang Valley."
Lalitpur Tiny Temple,Lalitpur,"From Kathmandu, drive south to Lalitpur city and explore small temples in the area."
Langtang Upper Trek,Rasuwa,"From Kathmandu, drive north to Syabrubesi, then trek further into Langtang Upper Valley."
Rasuwa,Rasuwa,"From Kathmandu, drive north via Trishuli Bazaar to reach Rasuwa District."
Kathmandu,Kathmandu,Start at Kathmandu city itself.
Chitwan,Chitwan,"From Kathmandu, drive southwest via Mugling and Tandi to reach Chitwan District."
Lalitpur / Chapagaun,Lalitpur / Chapagaun,"From Kathmandu, drive south to Lalitpur and Chapagaun villages for local cultural sites."
Nuwakot,Nuwakot,"From Kathmandu, drive north via Tokha to reach Nuwakot District."
Dhading,Dhading,"From Kathmandu, drive northwest via Naubise to reach Dhading District."
Patan,Lalitpur,"From Kathmandu, drive south to Patan city to explore temples and squares."
Bhrikutimandap,Kathmandu,"From Kathmandu, drive north to Bhrikutimandap near Sundarijal for hill viewpoints."
Thamel,Kathmandu,"In Kathmandu, visit the Thamel neighborhood for shopping and cultural spots."
Bagh Bhairab Temple,Kathmandu,"From Kathmandu, drive northeast via Bhaktapur to reach Bagh Bhairab Temple."
Balkumari Temple,Lalitpur,"From Kathmandu, drive south to Patan city to visit Balkumari Temple."
Balthali Village,Kavrepalanchok,"From Kathmandu, drive east via Bhaktapur and Panauti to reach Balthali village."
Bhimeshwor Temple,Dolakha,"From Kathmandu, drive northeast via Dolakha Bazaar to Bhimeshwor Temple."
Chandeshwori Temple,Chitwan,"From Kathmandu, drive east via Banepa to reach Chandeshwori Temple."
Changu Narayan Lesser Shrines,Bhaktapur,"From Kathmandu, drive northeast to Changu Narayan Temple complex to explore lesser shrines."
Chhahare Waterfall,Nuwakot,"From Kathmandu, drive southwest via Chapagaun to revisit Chhahare Waterfall."
Chisapani,Nuwakot,"From Kathmandu, drive north via Sundarijal to Chisapani in Shivapuri National Park."
Chitwan National Park,Chitwan,"From Kathmandu, drive south via Mugling and Tandi to reach Chitwan National Park again."
Dakshinkali Temple,Kathmandu,"From Kathmandu, drive south to reach Dakshinkali Temple near Kulekhani."
Dhading Hidden Village Trail,Dhading,"From Kathmandu, drive northwest via Naubise to Dhading District and trek again on the hidden village trail."
Dhulikhel,Kavrepalanchok,"From Kathmandu, drive east to Dhulikhel town for valley views and temples."
Dhulikhel Viewpoint,Kavrepalanchok,"From Kathmandu, continue to Dhulikhel town and visit the viewpoint for Himalayan panoramas."
Gosaikunda Lesser Spots,Rasuwa,"From Kathmandu, drive north via Dhunche and trek to explore smaller lakes near Gosaikunda."
Kaleshwor Mahadev Temple,Dhading,"From Kathmandu, drive northeast via Sindhupalchok District to Kaleshwor Mahadev Temple."
Kalinchowk Bhagwati,Dolakha,"From Kathmandu, drive northeast via Charikot and Dolakha to trek to Kalinchowk Bhagwati Temple again."
Kamalamai Temple,Sindhuli,"From Kathmandu, drive southeast via Sindhuli Bazaar to reach Kamalamai Temple in Sindhuli District."
Kathmandu,Kathmandu,Return to Kathmandu city center.
Kulekhani Dam & Reservoir,Makwanpur,"From Kathmandu, drive south to Kulekhani to visit the dam and reservoir."
Langtang Upper Trek,Rasuwa,"From Kathmandu, drive north to Syabrubesi and begin trekking into Langtang Upper Valley again."
Lele Village,Lalitpur,"From Kathmandu, drive south via Godavari and Chapagaun to reach Lele village near Patan."
Local Hilltop Viewpoints (Chapagaun/Lalitpur),Lalitpur,"From Kathmandu, drive south to Chapagaun hills for local viewpoints."
Mahankal Temple,Kathmandu,"From Kathmandu, drive southwest via Lalitpur to reach Mahankal Temple."
Nagadesh Temple,Lalitpur,"From Kathmandu, drive northeast via Bhaktapur to reach Nagadesh Temple."
Nagarkot Viewpoint,Bhaktapur,"From Kathmandu, drive east along the Araniko Highway to reach Nagarkot for panoramic Himalayan views."
Netra Lake,Dhading,"From Kathmandu, drive south via Hetauda and Chitwan District to reach Netra Lake."
Pharping,Kathmandu,"From Kathmandu, drive southwest via Kirtipur to reach Pharping, a Buddhist meditation site."
Rasuwa,Rasuwa,"From Kathmandu, drive north via Trishuli Bazaar to reach Rasuwa District."
Rasuwagadhi Fort,Rasuwa,"From Kathmandu, drive north via Trishuli Bazaar and Dhunche to reach Rasuwagadhi Fort near the Nepal-Tibet border."
Rolwaling Valley,Dolakha,"From Kathmandu, drive to Jagat in Dolakha District, then trek into Rolwaling Valley."
Sangachok Village,Kavrepalanchok,"From Kathmandu, drive east via Bhaktapur to reach Sangachok Village."
Sankhu,Kathmandu,"From Kathmandu, drive northeast via Bhaktapur to reach Sankhu Village."
Seto Machhendranath Temple,Kathmandu,"From Kathmandu, drive south to Patan city to visit Seto Machhendranath Temple."
Shivapuri Nagarjun National Park,Kathmandu,"From Kathmandu, drive north to reach entry points of Shivapuri Nagarjun National Park."
Siddhi Ganesh Temple,Kathmandu,"From Kathmandu, drive southwest to Chobhar to reach Siddhi Ganesh Temple."
Sindhuligadhi,Sindhuli,"From Kathmandu, drive southeast via Charikot and Sindhuli Bazaar to reach Sindhuligadhi."
Thimi,Bhaktapur,"From Kathmandu, drive southeast to Thimi near Patan for temples and local culture."
Bharatpur,Chitwan,"From Kathmandu, drive south via Mugling and Tandi to reach Bharatpur in Chitwan District."
Jayamangala (Ratnanagar area),Chitwan,"From Kathmandu, drive south via Mugling and Ratnanagar to reach Jayamangala area."
Krishna Pranami Temple,Chitwan,"From Kathmandu, drive south via Bharatpur to Ratnanagar to reach Krishna Pranami Temple."
Panchakanya Mandir,Chitwan,"From Kathmandu, drive south via Bharatpur and Ratnanagar to reach Panchakanya Mandir."
Chisapani Mandir,Chitwan,"From Kathmandu, drive north via Sundarijal and Shivapuri to reach Chisapani Mandir."
Ratnanagar,Chitwan,"From Kathmandu, drive south via Mugling and Bharatpur to reach Ratnanagar."
Khairahani,Chitwan,"From Kathmandu, drive south via Mugling and Chitwan District to reach Khairahani."
Korak,Chitwan,"From Kathmandu, drive south via Mugling and Chitwan District to reach Korak village."
Bandipur,Tanahun,"From Kathmandu, drive west via Mugling and Dumre to reach Bandipur hilltop town."
Nilkantha,Dhading,"From Kathmandu, drive northwest via Dhading District to reach Nilkantha in Dhading."
Dhuwakot,Dhading,"From Kathmandu, drive southwest via Kulekhani and Makwanpur District to reach Dhuwakot village."
Deurali Danda,Dhading,"From Kathmandu, drive north via Dhading District to reach Deurali Danda."
Vagerachuli,Dhading,"From Kathmandu, drive northwest via Dhading and Nilkantha area to reach Vagerachuli hill area."
Semjong,Dhading,"From Kathmandu, drive northwest via Dhading to reach Semjong village."
Barsunchet,Nuwakot,"From Kathmandu, drive north via Dhading District to reach Barsunchet village."
Bungtang,Nuwakot,"From Kathmandu, drive northwest via Dhading to reach Bungtang."
Deurali,Nuwakot,"From Kathmandu, drive north via Dhading and Nilkantha to reach Deurali village."
Tupche,Nuwakot,"From Kathmandu, drive north via Dhading District to reach Tupche village."
Chappthoke,Nuwakot,"From Kathmandu, drive northwest via Dhading District to reach Chappthoke."
Pokhari Gaun,Nuwakot,"From Kathmandu, drive north via Dhading District to reach Pokhari Gaun."
Champani Gaun,Nuwakot,"From Kathmandu, drive northwest via Dhading District to reach Champani Gaun."
Yarsa,Nuwakot,"From Kathmandu, drive north via Dhading District to reach Yarsa village."
Urleni (Helambu area),Sindhupalchok,"From Kathmandu, drive north via Sundarijal and Melamchi to reach Urleni in Helambu region."
Shikharbesi (Nuwakot),Nuwakot,"From Kathmandu, drive north via Tokha to reach Shikharbesi in Nuwakot District."
Ghyangphedi,Nuwakot,"From Kathmandu, drive north via Nuwakot to reach Ghyangphedi village."
Helambu,Sindhupalchok,"From Kathmandu, drive north via Sundarijal and Melamchi to reach the Helambu region."
Bhotang,Sindhupalchok,"From Kathmandu, drive north via Helambu trail to reach Bhotang village."
Pachpokhari,Sindhupalchok,"From Kathmandu, drive north via Helambu trail to reach Pachpokhari lake area."
Phurbi Chyachu,Sindhupalchok,"From Kathmandu, drive north via Helambu region to reach Phurbi Chyachu peak."
Tatopani (Sindhupalchok),Sindhupalchok,"From Kathmandu, drive northeast via Jiri and Tatopani to reach Sindhupalchok Tatopani."
Kodari,Sindhupalchok,"From Kathmandu, drive northeast via Jiri and Tatopani to reach Kodari at Nepal-China border."
Phulpingkatti,Sindhupalchok,"From Kathmandu, drive northeast via Jiri and Tatopani to reach Phulpingkatti."
Bigu,Dolakha,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Bigu village."
Singati,Ramechhap,"From Kathmandu, drive northeast via Jiri and Ramechhap District to reach Singati."
Suri,Ramechhap,"From Kathmandu, drive northeast via Jiri and Ramechhap to reach Suri village."
Jhyaku,Ramechhap,"From Kathmandu, drive northeast via Sindhupalchok and Helambu to reach Jhyaku village."
Gorpang,Ramechhap,"From Kathmandu, drive northeast via Sindhupalchok District to reach Gorpang village."
Lamidada,Ramechhap,"From Kathmandu, drive northeast via Ramechhap and Jiri to reach Lamidada."
Jiri,Dolakha,"From Kathmandu, drive east via Charikot and Shivalaya to reach Jiri town."
Rasnalu,Ramechhap,"From Kathmandu, drive northeast via Ramechhap District to reach Rasnalu village."
Gupteshwor (Ramechhap),Ramechhap,"From Kathmandu, drive northeast to Ramechhap District to reach Gupteshwor Temple."
Ramechhap (HQ),Ramechhap,"From Kathmandu, drive northeast via Charikot to reach Ramechhap headquarters."
Rampur (Ramechhap),Ramechhap,"From Kathmandu, drive northeast via Ramechhap District to reach Rampur village."
Himganga,Ramechhap,"From Kathmandu, drive northeast via Ramechhap and Jiri to reach Himganga."
Melamchi,Sindhupalchok,"From Kathmandu, drive north via Sundarijal and Melamchi Valley to reach Melamchi village."
Sipalkavre,Sindhupalchok,"From Kathmandu, drive north via Helambu trail to reach Sipalkavre village."
Chhiku,Sindhupalchok,"From Kathmandu, drive northeast via Helambu and Melamchi Valley to reach Chhiku village."
Sindurche,Sindhupalchok,"From Kathmandu, drive north via Sundarijal and Melamchi Valley to reach Sindurche village."
Gunsakot,Ramechhap,"From Kathmandu, drive north via Helambu and Melamchi to reach Gunsakot village."
Golche,Ramechhap,"From Kathmandu, drive north via Helambu trail to reach Golche village."
Pangtang,Ramechhap,"From Kathmandu, drive north via Sundarijal and Melamchi Valley to reach Pangtang village."
Nampha,Ramechhap,"From Kathmandu, drive north via Helambu to reach Nampha village."
Budhanilkantha,Kathmandu,"From Kathmandu, drive north within the city to reach Budhanilkantha Temple."
Gokarneshwor,Kathmandu,"From Kathmandu, drive northeast within the city to reach Gokarneshwor Temple."
Bajrayogini Temple,Kathmandu,"From Kathmandu, drive northeast via Tokha and Sundarijal to reach Bajrayogini Temple."
Sundarijal Waterfall,Kathmandu,"From Kathmandu, drive north to Sundarijal to visit the waterfall."
Salinadi Temple,Kathmandu,"From Kathmandu, drive northeast via Tokha to reach Salinadi Temple."
Banepa,Kavrepalanchok,"From Kathmandu, drive east via Banepa Highway to reach Banepa town."
Dhulikhel,Kavrepalanchok,"From Kathmandu, drive east to Dhulikhel town."
Namobuddha,Kavrepalanchok,"From Kathmandu, drive southeast via Banepa to reach Namobuddha Monastery."
Dapcha Chhatrebangh,Kavrepalanchok,"From Kathmandu, drive east via Panchkhal to reach Dapcha Chhatrebangh."
Panchkhal,Kavrepalanchok,"From Kathmandu, drive east via Banepa Highway to Panchkhal town."
Dolalghat,Kavrepalanchok,"From Kathmandu, drive east via Banepa and Panchkhal to reach Dolalghat on Sunkoshi River."
Phalate (Bhumlu),Kavrepalanchok,"From Kathmandu, drive east via Panchkhal to reach Phalate village in Bhumlu."
Bhumlutar,Kavrepalanchok,"From Kathmandu, drive east via Panchkhal to reach Bhumlutar village in Kavre District."
Saping,Kavrepalanchok,"From Kathmandu, drive east via Panchkhal to reach Saping village in Kavre District."
Kalika (Kavre),Kavrepalanchok,"From Kathmandu, drive east via Banepa and Panchkhal to Kalika village in Kavre."
Sunkhani,Kavrepalanchok,"From Kathmandu, drive east via Panchkhal and Dolalghat to reach Sunkhani village."
Timure,Nuwakot,"From Kathmandu, drive north via Trishuli Bazaar and Rasuwa to reach Timure."
Chitlang,Makwanpur,"From Kathmandu, drive south via Kulekhani and Chandragiri hills to reach Chitlang village."
Markhu,Makwanpur,"From Kathmandu, drive southwest via Godawari to reach Markhu village."
Fakhel,Makwanpur,"From Kathmandu, drive south via Godawari and Chapagaun to reach Fakhel village."
Dakshinkali,Kathmandu,"From Kathmandu, drive south to reach Dakshinkali Temple near Kulekhani."
Bungamati,Lalitpur,"From Kathmandu, drive southwest to Lalitpur and visit Bungamati village."
Chhampi,Lalitpur,"From Kathmandu, drive southwest via Godawari and Chapagaun to reach Chhampi village."
Tahakhel,Lalitpur,"From Kathmandu, drive south via Godawari and Chapagaun to reach Tahakhel village."
Maneshwor Mahadev Temple,Kathmandu,"From Kathmandu, drive north or east within the valley to reach Maneshwor Mahadev Temple."
Dandagaun,Lalitpur,"From Kathmandu, drive south via Godawari and Chapagaun to Dandagaun village."
Badikhel,Lalitpur,"From Kathmandu, drive south via Godawari and Chapagaun to reach Badikhel village."
Godawari,Lalitpur,"From Kathmandu, drive south to Godawari Botanical Garden and surrounding area."
Chapakharka,Lalitpur,"From Kathmandu, drive east via Banepa Highway to Chapakharka village in Kavre District."
Ryale,Lalitpur,"From Kathmandu, drive east via Panchkhal and Banepa to reach Ryale village."
Mahendrajyoti,Lalitpur,"From Kathmandu, drive southwest via Godawari to reach Mahendrajyoti area."
Ugratara Janagal,Kathmandu,"From Kathmandu, drive southwest via Godawari and Chapagaun to reach Ugratara Janagal."
Nala Ugrachandi,Kavrepalanchok,"From Kathmandu, drive east via Banepa Highway to reach Nala village and Ugrachandi temple."
Devitar,Bhaktapur,"From Kathmandu, drive east via Banepa and Panchkhal to reach Devitar village."
Nakhipot,Lalitpur,"From Kathmandu, drive south to Lalitpur city to reach Nakhipot."
Madhyapur Thimi,Bhaktapur,"From Kathmandu, drive southeast to Thimi town in Lalitpur District."
Mulpani,Kathmandu,"From Kathmandu, drive south to reach Mulpani near Godawari."
Nayapati,Kathmandu,"From Kathmandu, drive south via Godawari to Nayapati village."
Aalapot,Kathmandu,"From Kathmandu, drive south via Chapagaun and Godawari to Aalapot."
Mulkharka,Makwanpur,"From Kathmandu, drive east via Panchkhal to reach Mulkharka village."
Dhunche,Rasuwa,"From Kathmandu, drive north via Sundarijal to reach Dhunche town in Rasuwa District."
Bharkhu,Rasuwa,"From Kathmandu, drive north via Sundarijal and Dhunche to reach Bharkhu village."
Chandanbari,Dhading,"From Kathmandu, drive north via Rasuwa District to reach Chandanbari village."
Mukharka,Dhading,"From Kathmandu, drive north via Rasuwa and Helambu region to reach Mukharka village."
Sherpagaon,Rasuwa,"From Kathmandu, drive north via Helambu region to reach Sherpagaon village."
Khangjim,Rasuwa,"From Kathmandu, drive north via Helambu trail to Khangjim village."
Bhalche,Dhading,"From Kathmandu, drive north via Helambu trail to Bhalche village."
Fikuri,Dhading,"From Kathmandu, drive north via Helambu and Melamchi Valley to Fikuri village."
Archale,Gorkha,"From Kathmandu, drive south via Godawari to reach Archale village."
Laharepauwa,Nuwakot,"From Kathmandu, drive north via Helambu trail to reach Laharepauwa village."
Kumpur,Dhading,"From Kathmandu, drive north via Helambu trail to Kumpur village."
Adamtar,Dhading,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Adamtar village."
Belinitar,Dhading,"From Kathmandu, drive north via Helambu trail to Belinitar village."
Bhutiya,Dhading,"From Kathmandu, drive north via Helambu trail to reach Bhutiya village."
Taruka,Nuwakot,"From Kathmandu, drive northwest via Tokha and Shivapuri area to reach Taruka village."
Gorsyang,Nuwakot,"From Kathmandu, drive north via Sundarijal and Helambu trail to reach Gorsyang village."
Charghare,Dhading,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Charghare village."
Gerkhu,Dhading,"From Kathmandu, drive north via Sundarijal and Helambu trail to reach Gerkhu village."
Haldekalika,Dhading,"From Kathmandu, drive northeast via Kavre District to reach Haldekalika Temple."
Hiramanitar,Dhading,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Hiramanitar village."
Ramche,Rasuwa,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Ramche village."
Thuman,Rasuwa,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Thuman village."
Rasua,Rasuwa,"From Kathmandu, drive north via Trishuli Bazaar to reach Rasua village in Rasuwa District."
Rasuwagadhi,Rasuwa,"From Kathmandu, drive north via Trishuli Bazaar and Dhunche to reach Rasuwagadhi Fort near Nepal-China border."
Chilime,Rasuwa,"From Kathmandu, drive north via Trishuli Bazaar and Rasuwa to reach Chilime Hydropower area."
Saramthali,Rasuwa,"From Kathmandu, drive northeast via Sindhupalchok District to Saramthali village."
Doglang,Rasuwa,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Doglang village."
Old Langtang Village,Rasuwa,"From Kathmandu, drive north via Syabrubesi, then trek to Old Langtang Village."
Tsangbu Ri,Rasuwa,"From Kathmandu, drive north via Helambu trail and Dhunche, then trek to Tsangbu Ri."
Raksirang,Makwanpur,"From Kathmandu, drive south via Hetauda and Makwanpur District to reach Raksirang village."
Bharta Pundyadevi,Makwanpur,"From Kathmandu, drive south via Hetauda to reach Bharta Pundyadevi village."
Gogane,Lalitpur,"From Kathmandu, drive north via Sundarijal and Helambu to reach Gogane village."
Agara,Lalitpur,"From Kathmandu, drive northeast via Kavre District to Agara village."
Tasarpu,Lalitpur,"From Kathmandu, drive north via Helambu trail to reach Tasarpu village."
Kewalpur,Makwanpur,"From Kathmandu, drive south via Hetauda and Makwanpur District to Kewalpur."
Jeewanpur,Makwanpur,"From Kathmandu, drive south via Hetauda and Makwanpur District to reach Jeewanpur."
Chhatre Deurali,Makwanpur,"From Kathmandu, drive north via Helambu trail to Chhatre Deurali."
Mudkhu,Makwanpur,"From Kathmandu, drive north via Helambu trail to reach Mudkhu village."
Okharpauwa,Nuwakot,"From Kathmandu, drive north via Tokha and Nuwakot District to Okharpauwa village."
Kakani,Nuwakot,"From Kathmandu, drive northwest via Tokha and Nuwakot District to reach Kakani."
Bhadratar,Nuwakot,"From Kathmandu, drive northwest via Tokha and Nuwakot District to Bhadratar village."
Kharanitar,Nuwakot,"From Kathmandu, drive northwest via Tokha and Nuwakot to reach Kharanitar village."
Likhu (generic),Bagmati,"From Kathmandu, drive northeast via Kavre or Sindhupalchok Districts to reach Likhu village."
Talakhu,Kathmandu/Kavre,"From Kathmandu, drive northeast via Kavre District to Talakhu village."
Gajuri,Dhading,"From Kathmandu, drive northwest via Dhading District to reach Gajuri."
Chuwabote Gaun,Dhading,"From Kathmandu, drive north via Helambu trail to Chuwabote village."
Jyamrung,Dhading,"From Kathmandu, drive northwest via Dhading District to reach Jyamrung."
Katunge,Dhading,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Katunge village."
Gokarneshwor Temple,Kathmandu,"From Kathmandu, drive northeast within the city to reach Gokarneshwor Temple."
Tripureswor,Kathmandu,"From Kathmandu, drive within the city to reach Tripureswor area."
Salyankot,Dhading,"From Kathmandu, drive northwest via Nuwakot District to reach Salyankot village."
Mahavir,Kathmandu,"From Kathmandu, drive south via Hetauda to Mahavir area."
Vharse Pokhari,Dhading,"From Kathmandu, drive north via Helambu trail to Vharse Pokhari."
Gangajamuna,Dhading,"From Kathmandu, drive north via Sundarijal and Helambu to reach Gangajamuna village."
Gumdi,Dhading,"From Kathmandu, drive south via Hetauda to reach Gumdi village."
Khaniyanbas,Dhading,"From Kathmandu, drive north via Helambu trail to Khaniyanbas village."
Satyadevi Mandir,Kathmandu,"From Kathmandu, drive northwest via Tokha and Nuwakot District to reach Satyadevi Mandir."
Kintang,Dhading,"From Kathmandu, drive north via Helambu and Melamchi Valley to Kintang village."
Salme,Dhading,"From Kathmandu, drive north via Helambu trail to reach Salme village."
Bhalche,Dhading,"From Kathmandu, drive north via Helambu trail to Bhalche village."
Kaule,Dhading,"From Kathmandu, drive north via Helambu trail to Kaule village."
Fikuri,Dhading,"From Kathmandu, drive north via Helambu and Melamchi Valley to Fikuri village."
Jibjibe,Dhading,"From Kathmandu, drive north via Helambu trail to Jibjibe village."
Bhorle,Dhading,"From Kathmandu, drive south via Hetauda and Makwanpur District to reach Bhorle."
Jharlang,Dhading,"From Kathmandu, drive south via Hetauda and Makwanpur District to Jharlang."
Hetauda,Makwanpur,"From Kathmandu, drive south via Mugling Highway to reach Hetauda city."
Sukaura,Makwanpur,"From Kathmandu, drive south via Hetauda to Sukaura village."
Lattaramveshwar Mahadev Temple,Makwanpur,"From Kathmandu, drive south via Hetauda and Makwanpur District to reach Lattaramveshwar Mahadev Temple."
Ichankhu Narayan,Kathmandu,"From Kathmandu, drive northeast to Ichankhu Narayan village near Bhaktapur."
Harnamadi,Dhading,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Harnamadi village."
Shreepur Chhatiwan,Makwanpur,"From Kathmandu, drive south via Hetauda and Makwanpur District to reach Shreepur Chhatiwan."
Gundu,Kathmandu,"From Kathmandu, drive south via Hetauda to reach Gundu village."
Manthali,Ramechhap,"From Kathmandu, drive southeast via Ramechhap and Dolakha District to reach Manthali town."
Asrang,Ramechhap,"From Kathmandu, drive southeast via Ramechhap District to Asrang village."
Chamere Cave,Ramechhap,"From Kathmandu, drive south via Hetauda and Makwanpur District to reach Chamere Cave."
Gotikhel,Kathmandu,"From Kathmandu, drive south via Godawari and Chapagaun to reach Gotikhel village."
Kaleshwor,Kathmandu,"From Kathmandu, drive north via Sundarijal to Kaleshwor Mahadev Temple."
Chyamrang Besi,Kathmandu,"From Kathmandu, drive north via Helambu and Melamchi Valley to Chyamrang Besi."
Tin Tale Waterfall,Kathmandu,"From Kathmandu, drive north via Helambu trail to reach Tin Tale Waterfall."
Manikhel,Kathmandu,"From Kathmandu, drive south via Godawari and Chapagaun to reach Manikhel village."
Kalanti,Kathmandu,"From Kathmandu, drive south via Godawari to reach Kalanti village."
Malpi,Kathmandu,"From Kathmandu, drive south via Godawari to Malpi village."
KapalKot,Kathmandu,"From Kathmandu, drive south via Godawari and Chapagaun to reach KapalKot village."
Mahendrajyoti,Kathmandu,"From Kathmandu, drive south via Godawari to Mahendrajyoti area."
Baramchi,Kathmandu,"From Kathmandu, drive north via Helambu and Melamchi Valley to Baramchi village."
Mankha,Kathmandu,"From Kathmandu, drive north via Helambu trail to Mankha village."
Maneshwor,Kathmandu,"From Kathmandu, drive south or within the city to reach Maneshwor area."
Yalmu Waterfall,Ramechhap,"From Kathmandu, drive north via Helambu and Melamchi Valley to reach Yalmu Waterfall."
Gathi,Ramechhap,"From Kathmandu, drive south via Godawari and Chapagaun to Gathi village."
Marming,Ramechhap,"From Kathmandu, drive north via Helambu trail to Marming village."
Dhuskun,Ramechhap,"From Kathmandu, drive north via Helambu trail to Dhuskun village."
Chaukati,Ramechhap,"From Kathmandu, drive south via Godawari and Chapagaun to Chaukati village."
Ghorthali,Ramechhap,"From Kathmandu, drive north via Helambu and Melamchi Valley to Ghorthali village."
Bigu,Ramechhap,"From Kathmandu, drive north via Helambu and Melamchi Valley to Bigu village."
Deudhunga Dada,Ramechhap,"From Kathmandu, drive north via Helambu trail to Deudhunga Dada viewpoint."
Seti Mata,Ramechhap,"From Kathmandu, drive north via Helambu and Melamchi Valley to Seti Mata."
Kalinchowk Bhagawati Temple,Dolakha,"From Kathmandu, drive northeast via Dolakha District to Kalinchowk Bhagawati Temple."
Gairabari,Ramechhap,"From Kathmandu, drive north via Helambu trail to Gairabari village."
Betechhap,Ramechhap,"From Kathmandu, drive north via Helambu trail to Betechhap village."
Lisankhu,Sindhupalchok,"From Kathmandu, drive north via Helambu and Melamchi Valley to Lisankhu village."
Attarpur,Ramechhap,"From Kathmandu, drive south via Godawari and Chapagaun to Attarpur village."
Baghkhor,Ramechhap,"From Kathmandu, drive south via Godawari to Baghkhor village."
Aahaldanda,Ramechhap,"From Kathmandu, drive north via Helambu trail to Aahaldanda village."
Jiri,Dolakha,"From Kathmandu, drive east via Dolakha District and use Araniko Highway to reach Jiri."
Chuchure,Ramechhap,"From Kathmandu, drive south via Godawari to Chuchure village."
Harisiddhi,Lalitpur,"From Kathmandu, drive south to Lalitpur to reach Harisiddhi area."
