destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,event_name,event_venue,event_month_season,event_type,event_description,destination_image_path,hotel1_image_path,hotel2_image_path,hotel3_image_path,restaurant1_image_path,restaurant2_image_path,restaurant3_image_path
830,dang valley minor viewpoints,dang,Oct–Mar,Hill; Scenic; Nature,Natural Attractions,Photography; Nature Walks; Short Trek,Easy,Road + Short Hike,28.05,82.61,5,"Dang Valley, the second-largest valley in Asia, is encircled by the Shivalik Hills and Mahabharata Range. Minor viewpoints across the valley provide glimpses of its vast plains, rivers, and cultural sites. From Jakhera Lake to Purandhara Waterfall, these spots highlight the valley’s ecological richness and Tharu heritage, offering diverse experiences beyond the main towns.
","From Kathmandu, drive southwest via Narayangadh and Tulsipur to reach Dang Valley minor viewpoints.From Kathmandu, drive southwest via Narayangadh and Dang district roads to Dang Valley minor viewpoints.",700136,Scenic hills and valleys ideal for nature views. Scenic vantage points across Dang Valley.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Dang\Dang 1.1.jpeg; Dang\Dang 1.10.jpeg; Dang\Dang 1.2.jpeg; Dang\Dang 1.3.jpeg; Dang\Dang 1.4.jpeg; Dang\Dang 1.5.jpeg; Dang\Dang 1.6.jpeg; Dang\Dang 1.7.jpeg; Dang\Dang 1.8.jpeg; Dang\Dang 1.9.jpeg,,,,,,
831,buddha statue viewpoint,rupandehi,Oct–Mar,Viewpoint; Scenic; Cultural,Natural Attractions,Photography; Short Walk; Sightseeing,Easy,Road + Short Hike,27.485,83.28,5,"Nepal hosts numerous Buddha statue viewpoints, often combining religious significance with scenic panoramas. These handcrafted statues, made in Patan and other regions, symbolize meditation and peace. A viewpoint featuring such statues offers both spiritual reflection and cultural artistry, with golden gilded figures set against Himalayan or Terai backdrops","From Kathmandu, drive southwest via Tulsipur to Dang Buddha Statue viewpoint.",750357,Elevated spot offering great views of landscapes and statue. Elevated location with panoramic views and Buddha statue.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.1.jpeg; Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.10.jpeg; Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.2.jpeg; Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.3.jpeg; Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.4.jpeg; Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.5.jpeg; Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.6.jpeg; Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.7.jpeg; Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.8.jpeg; Buddha Statue Viewpoint\Buddha Statue Viewpoint 1.9.jpeg,,,,,,
832,majhgaon hill lesser viewpoints,dang,Oct–Mar,Hill; Scenic; Nature,Natural Attractions,Photography; Short Trek; Nature Walks,Easy,Road + Short Hike,28.065,82.625,5,"Majhgaon, near Pokhara, is known for its Gurung-style lodges and manicured gardens. At 1,408 meters, it provides accessible hill viewpoints with stunning valley and peak views. The area combines traditional village life with trekking hospitality, making it a lesser-known yet rewarding destination for cultural immersion and scenic relaxation","From Kathmandu, drive southwest via Dang district roads to Majhgaon Hill.",1000500,Small hilltop viewpoints with local scenic beauty. Small hilltop spots with panoramic views.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.1.jpeg; Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.10.jpeg; Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.2.jpeg; Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.3.jpeg; Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.4.jpeg; Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.5.jpeg; Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.6.jpeg; Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.7.jpeg; Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.8.jpeg; Majhgaon Hill Lesser Viewpoint\Majhgaon Hill Lesser Viewpoints 1.9.jpeg,,,,,,
833,dang offbeat hilltop,dang,Oct–Mar,Hill; Scenic; Nature,Natural Attractions,Photography; Short Trek; Nature Walks,Easy,Road + Short Hike,28.055,82.615,5,"Rajakot in Dang is an emerging offbeat hilltop viewpoint offering panoramic views of the Rapti and Babai rivers, as well as distant Himalayan peaks. Rooted in Tharu culture and mythology, the hilltop is gaining recognition as a hidden gem for backpackers. Its blend of history, legend, and natural beauty makes it a rising attraction in western Nepal.
","From Kathmandu, drive southwest via Narayangadh and Dang district to offbeat hilltop locations in Dang.From Kathmandu, drive southwest via Narayangadh and Dang district roads to offbeat hilltop.",980125,Off-the-beaten-path location with panoramic views. Hidden hilltop spot with panoramic views.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Dang\Dang 1.1.jpeg; Dang\Dang 1.10.jpeg; Dang\Dang 1.2.jpeg; Dang\Dang 1.3.jpeg; Dang\Dang 1.4.jpeg; Dang\Dang 1.5.jpeg; Dang\Dang 1.6.jpeg; Dang\Dang 1.7.jpeg; Dang\Dang 1.8.jpeg; Dang\Dang 1.9.jpeg,,,,,,
834,jagatnagar village,arghakhanchi,Oct–Mar,Village; Cultural; Nature,Natural Attractions,Homestay; Photography; Cultural Tour; Short Trek,Moderate,Road + Trek,27.83,83.31,5,"Jagat Village in the Manaslu region is a stone-walled settlement along the Budhi Gandaki River at 1,340–1,410 meters. It serves as a gateway to the Manaslu Circuit Trek, requiring conservation permits. Surrounded by rhododendron forests and mountain views, Jagat is both a checkpoint and a cultural stop, reflecting the rugged charm of Himalayan trekking communities.

","From Kathmandu, drive southwest via Butwal to Jagatnagar village.",900125,Rural settlement with traditional lifestyle. Traditional village with local culture and serene landscapes.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Jagatnagar Village\Jagatnagar Village 1.1.jpeg; Jagatnagar Village\Jagatnagar Village 1.10.jpeg; Jagatnagar Village\Jagatnagar Village 1.2.jpeg; Jagatnagar Village\Jagatnagar Village 1.3.jpeg; Jagatnagar Village\Jagatnagar Village 1.4.jpeg; Jagatnagar Village\Jagatnagar Village 1.5.jpeg; Jagatnagar Village\Jagatnagar Village 1.6.jpeg; Jagatnagar Village\Jagatnagar Village 1.7.jpeg; Jagatnagar Village\Jagatnagar Village 1.8.jpeg; Jagatnagar Village\Jagatnagar Village 1.9.jpeg,,,,,,
835,rupandehi traditional villages,rupandehi,Oct–Mar,Village; Cultural; Local,Cultural & Religious Sites,Homestay; Cultural Tour; Photography; Local Food,Easy,Road Accessible,27.48,83.25,5,"Rupandehi District, home to Lumbini, also features traditional Terai villages rich in Bhojpuri, Awadhi, and Tharu culture. These villages showcase mud houses, fertile plains, and vibrant festivals. Their proximity to Lumbini adds spiritual depth, while their agricultural lifestyle highlights the cultural diversity of Nepal’s southern plains.
","From Kathmandu, drive southwest via Butwal and Lumbini zone to reach traditional villages in Rupandehi.From Kathmandu, drive southwest via Butwal and Rupandehi District to visit traditional villages.",500258,Villages showcasing cultural heritage near Lumbini. Villages showcasing rural culture near Lumbini.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Rupandehi\Rupandehi 1.1.jpeg; Rupandehi\Rupandehi 1.10.jpeg; Rupandehi\Rupandehi 1.2.jpeg; Rupandehi\Rupandehi 1.3.jpeg; Rupandehi\Rupandehi 1.4.jpeg; Rupandehi\Rupandehi 1.5.jpeg; Rupandehi\Rupandehi 1.6.jpeg; Rupandehi\Rupandehi 1.7.jpeg; Rupandehi\Rupandehi 1.8.jpeg; Rupandehi\Rupandehi 1.9.jpeg,,,,,,
836,ghodaghodi lesser villages,kailali/rupandehi,Oct–Mar,Village; Cultural; Nature,Natural Attractions,Homestay; Cultural Tour; Photography; Nature Walks,Easy,Road + Short Trek,27.695,82.925,5,"Ghodaghodi in Kailali District is famed for its sacred lake and wetland ecosystem. Surrounding lesser villages, inhabited mainly by the Tharu community, preserve indigenous traditions tied to the lake’s mythology. The area is Nepal’s first bird sanctuary, blending ecological importance with cultural reverence. These villages offer authentic experiences of Tharu heritage and wetland conservation.

","From Kathmandu, drive southwest via Bhalubang and Ghodaghodi Lake area to reach minor villages.From Kathmandu, drive southwest via Bhalubang and Bardiya District to minor villages near Ghodaghodi Lake.",600654,Small settlements near Ghodaghodi Lake with scenic surroundings. Small settlements with rural charm near Ghodaghodi Lake.,NO,NO,NO,NO,NO,Ghodaghodi Paradise Cottage,"MWJX+M7H, Ghodaghodi 10900",Family-run; cozy homestay,3.8,Low (~$10–20),OYO 579 Ghodaghodi Lake Palace,"Ghodaghodi Lake Palace Eastern highway ,ghodaghodi, Dhangadhi 10900",Luxury lodge with scenic forest views,4,Medium (~$35–60),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.1.jpeg; Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.10.jpeg; Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.2.jpeg; Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.3.jpeg; Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.4.jpeg; Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.5.jpeg; Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.6.jpeg; Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.7.jpeg; Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.8.jpeg; Ghodaghodi Lesser Village\Ghodaghodi Lesser Villages 1.9.jpeg,,,,,,
837,syangja waterfall,palpa,Oct–Mar,Waterfall; Nature; Offbeat,Natural Attractions,Sightseeing; Photography; Short Hike,Easy,Road + Short Hike,27.88,83.55,5,"Syangja District is dotted with hidden waterfalls cascading through lush hillsides. These natural sites are often tucked away in forested valleys, offering serene picnic spots and trekking detours. The waterfalls reflect the district’s rich ecological diversity, combining subtropical greenery with Himalayan foothill charm. They are less commercialized, making them ideal for travelers seeking quiet natural beauty.","From Kathmandu, drive west via Prithvi Highway and Syangja district roads to Syangja Waterfall.",369654,Picturesque waterfall in Syangja district. Scenic waterfall set amidst lush hills.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,syangja\Syangja 1.1.jpeg; syangja\Syangja 1.10.jpeg; syangja\Syangja 1.2.jpeg; syangja\Syangja 1.3.jpeg; syangja\Syangja 1.4.jpeg; syangja\Syangja 1.5.jpeg; syangja\Syangja 1.6.jpeg; syangja\Syangja 1.7.jpeg; syangja\Syangja 1.8.jpeg; syangja\Syangja 1.9.jpeg,,,,,,
838,mahendra cave,rupandehi,Oct–Mar,Cave; Natural; Scenic,Natural Attractions,Sightseeing; Photography; Adventure,Easy,Road Accessible,27.682,83.443,5,"Located in Pokhara, Mahendra Cave is one of Nepal’s most famous limestone caves. It features stalactites and stalagmites formed over centuries, with chambers that echo with mystery. Named after King Mahendra, the cave is a popular tourist attraction, blending adventure with geology. Local legends add spiritual depth, as many visitors light lamps near natural rock formations resembling deities.","From Kathmandu, drive west via Prithvi Highway and Pokhara to Mahendra Cave.",700900,Famous limestone cave with impressive stalactites. Limestone cave with impressive stalactites near Pokhara.,City View Home Stay,Tansen 32500,Budget-friendly; simple rooms,4,High (~$90+),Hotel The Ranimahal,Tansen 32500,Family-run; cozy homestay,3.9,Low (~$10–20),"BULBUL FARM RETREAT, Farmstay, Farmfun, Farmfood","Bartung - Tansen Rd, Tansen 32500",Luxury lodge with mountain views,4.1,Medium (~$35–60),Gring Restro and Bar,"VG6V+QP8, Tansen 32500",4,High (~$90+),No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,,hotel_images\mahendra cave\City View Home Stay\exterior.jpg; hotel_images\mahendra cave\City View Home Stay\food.jpg; hotel_images\mahendra cave\City View Home Stay\inside.jpg,hotel_images\mahendra cave\Hotel The Ranimahal\exterior.jpg; hotel_images\mahendra cave\Hotel The Ranimahal\food.jpg; hotel_images\mahendra cave\Hotel The Ranimahal\rooms.jpg,"hotel_images\mahendra cave\BULBUL FARM RETREAT, Farmstay, Farmfun, Farmfood\exterior.jpg; hotel_images\mahendra cave\BULBUL FARM RETREAT, Farmstay, Farmfun, Farmfood\food.jpg; hotel_images\mahendra cave\BULBUL FARM RETREAT, Farmstay, Farmfun, Farmfood\rooms.jpg",,,
839,siddha cave,rupandehi,Oct–Mar,Cave; Nature; Adventure,Natural Attractions,Sightseeing; Photography; Adventure,Easy,Road Accessible,27.68,83.44,5,"Siddha Cave in Bandipur is the largest cave in Nepal, stretching over 437 meters in depth. Its vast chambers and intricate rock formations make it a natural wonder. The cave is often explored with headlamps, revealing hidden corners and echoing halls. It is both a geological marvel and a spiritual site, with shrines tucked inside, symbolizing the harmony of nature and faith.","From Kathmandu, drive west via Prithvi Highway and Pokhara to Siddha Cave.",500357,"Large cave in Pokhara region, ideal for adventure tourists. Large cave in Pokhara region, ideal for exploration.",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Siddha Cave\Siddha Cave 1.1.jpeg; Siddha Cave\Siddha Cave 1.10.jpeg; Siddha Cave\Siddha Cave 1.2.jpeg; Siddha Cave\Siddha Cave 1.3.jpeg; Siddha Cave\Siddha Cave 1.4.jpeg; Siddha Cave\Siddha Cave 1.5.jpeg; Siddha Cave\Siddha Cave 1.6.jpeg; Siddha Cave\Siddha Cave 1.7.jpeg; Siddha Cave\Siddha Cave 1.8.jpeg; Siddha Cave\Siddha Cave 1.9.jpeg,,,,,,
840,pyuthan micro viewpoint,pyuthan,Oct–Mar,Viewpoint; Nature; Offbeat,Natural Attractions,Photography; Short Trek; Nature Observation,Moderate,Road + Short Trek,28.25,82.75,5,"Pyuthan District offers micro viewpoints scattered across its hills, providing glimpses of the Rapti Valley and surrounding ridges. These small vantage points are often near villages, giving travelers a chance to experience both panoramic scenery and local hospitality. They highlight the district’s blend of terraced agriculture, rivers, and cultural settlements.","From Kathmandu, drive southwest via Tulsipur and Pyuthan district roads to Pyuthan micro viewpoint.From Kathmandu, drive southwest via Tulsipur and Pyuthan district roads to micro viewpoint.",400450,Scenic hill viewpoint in Pyuthan district. Small scenic viewpoint in Pyuthan district.,Thapa Hotel and Guest house,"4V22+49, Pyuthan 22300",Budget-friendly; simple rooms,4,High (~$90+),Shobha Hotel And Lodge,"4V23+VX9, Pyuthan 22300",Family-run; cozy homestay,4,Low (~$10–20),Hotel Aayushm,"3RXX+GXJ, Pyuthan 22300",Luxury lodge with panoramic views,4.1,Medium (~$35–60),No,No,No,No,No,No,No,No,No,No,No,No,Pyuthan Micro Viewpoint Eco & Cultural Trek,Hill / Viewpoint,Summer,Adventure / Eco,"Trekking, local folk performances, and handicraft stalls.",Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.1.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.10.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.2.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.3.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.4.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.5.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.6.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.7.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.8.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.9.jpeg,hotel_images\pyuthan micro viewpoint\Thapa Hotel and Guest house\exterior.jpg,hotel_images\pyuthan micro viewpoint\Shobha Hotel And Lodge\exterior.jpg; hotel_images\pyuthan micro viewpoint\Shobha Hotel And Lodge\food.jpg,hotel_images\pyuthan micro viewpoint\Hotel Aayushm\exterior.jpg; hotel_images\pyuthan micro viewpoint\Hotel Aayushm\food.jpg; hotel_images\pyuthan micro viewpoint\Hotel Aayushm\rooms.jpg,,,
841,pyuthan,pyuthan,Oct–Nov,"Hills, Scenic",Natural Attractions,"Photography, Walking",Moderate,Road + Trek,28.106,82.823,5,"Pyuthan itself is a mid-hill district rich in Magar and Chhetri culture. It is known for terraced fields, traditional villages, and historical sites like Swargadwari, a revered pilgrimage destination. The district’s geography bridges the Terai plains and Himalayan foothills, making it a diverse cultural and ecological zone.","From Kathmandu, drive southwest via Tulsipur to reach Pyuthan town.From Kathmandu, drive southwest via Tulsipur to Pyuthan District.",450400,"District town with cultural and natural attractions. Rural district with hills, rivers, and cultural attractions.",Thapa Hotel and Guest house,"4V22+49, Pyuthan 22300",Budget-friendly; simple rooms,4,High (~$90+),Shobha Hotel And Lodge,"4V23+VX9, Pyuthan 22300",Family-run; cozy stay,4,Low (~$10–20),Hotel Aayushm,"3RXX+GXJ, Pyuthan 22300",Luxury lodge with valley views,4.1,Medium (~$35–60),Blue Paradise Restaurant & Bar,"3RWR+PC2, Pyuthan 22300",4,High (~$90+),Welcome Hotel&Lodge,"4V33+9PC, Pyuthan 22300",4,Low (~$10–20),The Golden Hut Family Restaurant & Cottage,Pyuthan 22311,4.1,Medium (~$35–60),Pyuthan Micro Viewpoint Eco & Cultural Trek,Hill / Viewpoint,Summer,Adventure / Eco,"Trekking, local folk performances, and handicraft stalls.",Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.1.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.10.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.2.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.3.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.4.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.5.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.6.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.7.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.8.jpeg; Pyuthan Micro Viewpoint\Pyuthan Micro Viewpoint 1.9.jpeg,hotel_images\pyuthan\Thapa Hotel and Guest house\exterior.jpg,hotel_images\pyuthan\Shobha Hotel And Lodge\exterior.jpg; hotel_images\pyuthan\Shobha Hotel And Lodge\food.jpg,hotel_images\pyuthan\Hotel Aayushm\exterior.jpg; hotel_images\pyuthan\Hotel Aayushm\food.jpg; hotel_images\pyuthan\Hotel Aayushm\rooms.jpg,restaurant_images\pyuthan\Blue Paradise Restaurant & Bar\entrance.png,,restaurant_images\pyuthan\The Golden Hut Family Restaurant & Cottage\entrance.png
842,bardiya,bardiya,Oct–Feb,"Wildlife, Nature",Natural Attractions,"Safari, Photography",Easy,Road accessible,28.296,81.532,5,"Bardiya District is home to Bardiya National Park, Nepal’s largest and most pristine wildlife reserve. It protects Bengal tigers, wild elephants, and one-horned rhinoceroses. Beyond the park, Bardiya’s villages showcase Tharu culture, with mud houses, folk dances, and traditional farming. The district is a blend of wilderness and indigenous heritage.","From Kathmandu, drive southwest via Narayangadh and Gularia to Bardiya District.From Kathmandu, drive southwest via Narayangadh and Gularia to reach Bardiya District.",650123,"Gateway to Bardiya National Park with wildlife opportunities. Gateway to national park, known for wildlife and natural scenery.",Comfort Inn Lakhimpur Hotel,"DC Rd, near Saujanya Chowk, Police Line, Lakhimpur, Uttar Pradesh 262701, India",Budget-friendly; simple rooms,4,High (~$90+),"Bardia Wildlife Resort, Paradise","Unnamed Road, 21800",Family-run; cozy stay,4.2,Low (~$10–20),Hotel Pahuna Ghar,"Dhamboji, Nepalgunj 21900",Luxury lodge with wildlife views,4,Medium (~$35–60),Karuwa Restaurant & Bar,"F62V+FJR, Thakudwara 21800",4,High (~$90+),The Food Restaurant & Bar,"J7RH+GJ7, Chisapani 21800",4.2,Low (~$10–20),Khanena Restaurant & Family Bar,"G4MC+3M, 1 Hospital road, Tikapur 10901",4,Medium (~$35–60),Bardiya National Park Eco & Wildlife Festival,National Park,Winter,Eco / Adventure,"Wildlife awareness, guided tours, and local cultural performances.",Bardiya\Bardiya 1.1.jpeg; Bardiya\Bardiya 1.10.jpeg; Bardiya\Bardiya 1.2.jpeg; Bardiya\Bardiya 1.3.jpeg; Bardiya\Bardiya 1.4.jpeg; Bardiya\Bardiya 1.5.jpeg; Bardiya\Bardiya 1.6.jpeg; Bardiya\Bardiya 1.7.jpeg; Bardiya\Bardiya 1.8.jpeg; Bardiya\Bardiya 1.9.jpeg,hotel_images\bardiya\Comfort Inn Lakhimpur Hotel\amenities.jpg; hotel_images\bardiya\Comfort Inn Lakhimpur Hotel\exterior.jpg; hotel_images\bardiya\Comfort Inn Lakhimpur Hotel\rooms.jpg; hotel_images\bardiya\Comfort Inn Lakhimpur Hotel\works.jpg,"hotel_images\bardiya\Bardia Wildlife Resort, Paradise\exterior.jpg; hotel_images\bardiya\Bardia Wildlife Resort, Paradise\food.jpg; hotel_images\bardiya\Bardia Wildlife Resort, Paradise\rooms.jpg",hotel_images\bardiya\Hotel Pahuna Ghar\amenities.jpg; hotel_images\bardiya\Hotel Pahuna Ghar\exterior.jpg; hotel_images\bardiya\Hotel Pahuna Ghar\rooms.jpg,restaurant_images\bardiya\Karuwa Restaurant & Bar\entrance.png,,restaurant_images\bardiya\Khanena Restaurant & Family Bar\entrance.png
843,dang,dang,Oct–Feb,"Valley, Scenic",Natural Attractions,"Hiking, Photography",Easy,Road accessible,28.017,82.493,5,"Dang Valley, one of Asia’s largest valleys, is surrounded by the Shivalik and Mahabharata ranges. It is culturally rich with Tharu and Magar communities, and geographically diverse with rivers, plains, and hills. Dang is both an agricultural hub and a cultural heartland, offering viewpoints, temples, and ecological sites","From Kathmandu, drive southwest via Narayangadh and Tulsipur to Dang District.",900987,"Valley district with agriculture, rivers, and hill views. Fertile valley district with rich culture and natural beauty.",Hotel Mala Inn Pvt Ltd,"2FQP+9XM, Main Road, Ghorahi 22400",Budget-friendly; simple rooms,3.8,High (~$90+),Vingreli Village Resort, Ghorahi 22400,Family-run; cozy stay,3.9,Low (~$10–20),Hotel City Plaza Pvt. Ltd.,"2FQP+RJV, Ghorahi 22400",Luxury lodge with valley views,4,Medium (~$35–60),Karahi Event Spot,"479V+CH5, Tulsipur 22412",3.8,High (~$90+),Rostar restaurant,"48GJ+JG3, Tulsipur 22412",3.9,Low (~$10–20),Dovan Restaurant,"48P2+5QQ, Tulsipur 22412",4,Medium (~$35–60),NO,NO,NO,NO,NO,Dang\Dang 1.1.jpeg; Dang\Dang 1.10.jpeg; Dang\Dang 1.2.jpeg; Dang\Dang 1.3.jpeg; Dang\Dang 1.4.jpeg; Dang\Dang 1.5.jpeg; Dang\Dang 1.6.jpeg; Dang\Dang 1.7.jpeg; Dang\Dang 1.8.jpeg; Dang\Dang 1.9.jpeg,hotel_images\dang\Hotel Mala Inn Pvt Ltd\amenities.jpg; hotel_images\dang\Hotel Mala Inn Pvt Ltd\exterior.jpg; hotel_images\dang\Hotel Mala Inn Pvt Ltd\food.jpg; hotel_images\dang\Hotel Mala Inn Pvt Ltd\rooms.jpg,hotel_images\dang\Vingreli Village Resort\amenities.jpg; hotel_images\dang\Vingreli Village Resort\entrance.jpg; hotel_images\dang\Vingreli Village Resort\food.jpg; hotel_images\dang\Vingreli Village Resort\rooms.jpg,hotel_images\dang\Hotel City Plaza Pvt. Ltd.\entrance.jpg; hotel_images\dang\Hotel City Plaza Pvt. Ltd.\exterior.jpg; hotel_images\dang\Hotel City Plaza Pvt. Ltd.\food.jpg; hotel_images\dang\Hotel City Plaza Pvt. Ltd.\rooms.jpg,restaurant_images\dang\Karahi Event Spot\entrance.png,,
844,kothi river,arghakhanchi,Oct–Mar,River; Nature; Scenic,Natural Attractions,Sightseeing; Photography; Picnic,Easy,Road Accessible,27.82,83.3,5,"The Kothi River flows through mid-western Nepal, nourishing villages and terraced fields. It is a lifeline for agriculture and a scenic feature for travelers. Its banks often host small shrines and temples, reflecting the spiritual connection between rivers and rural communities.","From Kathmandu, drive southwest via Dang and Bardiya District to Kothi River.",875330,Scenic river in Dang offering fishing and natural beauty. Scenic river flowing through Dang with recreational opportunities.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Kothi River\Kothi River 1.1.jpeg; Kothi River\Kothi River 1.10.jpeg; Kothi River\Kothi River 1.2.jpeg; Kothi River\Kothi River 1.3.jpeg; Kothi River\Kothi River 1.4.jpeg; Kothi River\Kothi River 1.5.jpeg; Kothi River\Kothi River 1.6.jpeg; Kothi River\Kothi River 1.7.jpeg; Kothi River\Kothi River 1.8.jpeg; Kothi River\Kothi River 1.9.jpeg,,,,,,
