destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,reataurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,reataurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,reataurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,event_name,event_venue,event_month_season,event_type,event_description
839,siddha cave,rupandehi,Oct–Mar,Cave; Nature; Adventure,Natural Attractions,Sightseeing; Photography; Adventure,Easy,Road Accessible,27.68,83.44,5,"Siddha Cave in Bandipur is the largest cave in Nepal, stretching over 437 meters in depth. Its vast chambers and intricate rock formations make it a natural wonder. The cave is often explored with headlamps, revealing hidden corners and echoing halls. It is both a geological marvel and a spiritual site, with shrines tucked inside, symbolizing the harmony of nature and faith.","From Kathmandu, drive west via Prithvi Highway and Pokhara to Siddha Cave.",500357,"Large cave in Pokhara region, ideal for adventure tourists. Large cave in Pokhara region, ideal for exploration.",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
840,pyuthan micro viewpoint,pyuthan,Oct–Mar,Viewpoint; Nature; Offbeat,Natural Attractions,Photography; Short Trek; Nature Observation,Moderate,Road + Short Trek,28.25,82.75,5,"Pyuthan District offers micro viewpoints scattered across its hills, providing glimpses of the Rapti Valley and surrounding ridges. These small vantage points are often near villages, giving travelers a chance to experience both panoramic scenery and local hospitality. They highlight the district’s blend of terraced agriculture, rivers, and cultural settlements.","From Kathmandu, drive southwest via Tulsipur and Pyuthan district roads to Pyuthan micro viewpoint.From Kathmandu, drive southwest via Tulsipur and Pyuthan district roads to micro viewpoint.",400450,Scenic hill viewpoint in Pyuthan district. Small scenic viewpoint in Pyuthan district.,Thapa Hotel and Guest house,"4V22+49, Pyuthan 22300",Budget-friendly; simple rooms,4,High (~$90+),Shobha Hotel And Lodge,"4V23+VX9, Pyuthan 22300",Family-run; cozy homestay,4,Low (~$10–20),Hotel Aayushm,"3RXX+GXJ, Pyuthan 22300",Luxury lodge with panoramic views,4.1,Medium (~$35–60),No,No,No,No,No,No,No,No,No,No,No,No,Thapa Hotel and Guest house,"4V22+49, Pyuthan 22300",Budget-friendly; simple rooms,4,High (~$90+),Shobha Hotel And Lodge,"4V23+VX9, Pyuthan 22300",Family-run; cozy homestay,4,Low (~$10–20),Hotel Aayushm,"3RXX+GXJ, Pyuthan 22300",Luxury lodge with panoramic views,4.1,Medium (~$35–60),No,No,No,No,No,No,No,No,No,No,No,No,Pyuthan Micro Viewpoint Eco & Cultural Trek,Hill / Viewpoint,Summer,Adventure / Eco,"Trekking, local folk performances, and handicraft stalls."
841,pyuthan,pyuthan,Oct–Nov,"Hills, Scenic",Natural Attractions,"Photography, Walking",Moderate,Road + Trek,28.106,82.823,5,"Pyuthan itself is a mid-hill district rich in Magar and Chhetri culture. It is known for terraced fields, traditional villages, and historical sites like Swargadwari, a revered pilgrimage destination. The district’s geography bridges the Terai plains and Himalayan foothills, making it a diverse cultural and ecological zone.","From Kathmandu, drive southwest via Tulsipur to reach Pyuthan town.From Kathmandu, drive southwest via Tulsipur to Pyuthan District.",450400,"District town with cultural and natural attractions. Rural district with hills, rivers, and cultural attractions.",Thapa Hotel and Guest house,"4V22+49, Pyuthan 22300",Budget-friendly; simple rooms,4,High (~$90+),Shobha Hotel And Lodge,"4V23+VX9, Pyuthan 22300",Family-run; cozy stay,4,Low (~$10–20),Hotel Aayushm,"3RXX+GXJ, Pyuthan 22300",Luxury lodge with valley views,4.1,Medium (~$35–60),Blue Paradise Restaurant & Bar,"3RWR+PC2, Pyuthan 22300",4,High (~$90+),Welcome Hotel&Lodge,"4V33+9PC, Pyuthan 22300",4,Low (~$10–20),The Golden Hut Family Restaurant & Cottage,Pyuthan 22311,4.1,Medium (~$35–60),Thapa Hotel and Guest house,"4V22+49, Pyuthan 22300",Budget-friendly; simple rooms,4,High (~$90+),Shobha Hotel And Lodge,"4V23+VX9, Pyuthan 22300",Family-run; cozy stay,4,Low (~$10–20),Hotel Aayushm,"3RXX+GXJ, Pyuthan 22300",Luxury lodge with valley views,4.1,Medium (~$35–60),Blue Paradise Restaurant & Bar,"3RWR+PC2, Pyuthan 22300",4,High (~$90+),Welcome Hotel&Lodge,"4V33+9PC, Pyuthan 22300",4,Low (~$10–20),The Golden Hut Family Restaurant & Cottage,Pyuthan 22311,4.1,Medium (~$35–60),Pyuthan Micro Viewpoint Eco & Cultural Trek,Hill / Viewpoint,Summer,Adventure / Eco,"Trekking, local folk performances, and handicraft stalls."
842,bardiya,bardiya,Oct–Feb,"Wildlife, Nature",Natural Attractions,"Safari, Photography",Easy,Road accessible,28.296,81.532,5,"Bardiya District is home to Bardiya National Park, Nepal’s largest and most pristine wildlife reserve. It protects Bengal tigers, wild elephants, and one-horned rhinoceroses. Beyond the park, Bardiya’s villages showcase Tharu culture, with mud houses, folk dances, and traditional farming. The district is a blend of wilderness and indigenous heritage.","From Kathmandu, drive southwest via Narayangadh and Gularia to Bardiya District.From Kathmandu, drive southwest via Narayangadh and Gularia to reach Bardiya District.",650123,"Gateway to Bardiya National Park with wildlife opportunities. Gateway to national park, known for wildlife and natural scenery.",Comfort Inn Lakhimpur Hotel,"DC Rd, near Saujanya Chowk, Police Line, Lakhimpur, Uttar Pradesh 262701, India",Budget-friendly; simple rooms,4,High (~$90+),"Bardia Wildlife Resort, Paradise","Unnamed Road, 21800",Family-run; cozy stay,4.2,Low (~$10–20),Hotel Pahuna Ghar,"Dhamboji, Nepalgunj 21900",Luxury lodge with wildlife views,4,Medium (~$35–60),Karuwa Restaurant & Bar,"F62V+FJR, Thakudwara 21800",4,High (~$90+),The Food Restaurant & Bar,"J7RH+GJ7, Chisapani 21800",4.2,Low (~$10–20),Khanena Restaurant & Family Bar,"G4MC+3M, 1 Hospital road, Tikapur 10901",4,Medium (~$35–60),Comfort Inn Lakhimpur Hotel,"DC Rd, near Saujanya Chowk, Police Line, Lakhimpur, Uttar Pradesh 262701, India",Budget-friendly; simple rooms,4,High (~$90+),"Bardia Wildlife Resort, Paradise","Unnamed Road, 21800",Family-run; cozy stay,4.2,Low (~$10–20),Hotel Pahuna Ghar,"Dhamboji, Nepalgunj 21900",Luxury lodge with wildlife views,4,Medium (~$35–60),Karuwa Restaurant & Bar,"F62V+FJR, Thakudwara 21800",4,High (~$90+),The Food Restaurant & Bar,"J7RH+GJ7, Chisapani 21800",4.2,Low (~$10–20),Khanena Restaurant & Family Bar,"G4MC+3M, 1 Hospital road, Tikapur 10901",4,Medium (~$35–60),Bardiya National Park Eco & Wildlife Festival,National Park,Winter,Eco / Adventure,"Wildlife awareness, guided tours, and local cultural performances."
843,dang,dang,Oct–Feb,"Valley, Scenic",Natural Attractions,"Hiking, Photography",Easy,Road accessible,28.017,82.493,5,"Dang Valley, one of Asia’s largest valleys, is surrounded by the Shivalik and Mahabharata ranges. It is culturally rich with Tharu and Magar communities, and geographically diverse with rivers, plains, and hills. Dang is both an agricultural hub and a cultural heartland, offering viewpoints, temples, and ecological sites","From Kathmandu, drive southwest via Narayangadh and Tulsipur to Dang District.",900987,"Valley district with agriculture, rivers, and hill views. Fertile valley district with rich culture and natural beauty.",Hotel Mala Inn Pvt Ltd,"2FQP+9XM, Main Road, Ghorahi 22400",Budget-friendly; simple rooms,3.8,High (~$90+),Vingreli Village Resort, Ghorahi 22400,Family-run; cozy stay,3.9,Low (~$10–20),Hotel City Plaza Pvt. Ltd.,"2FQP+RJV, Ghorahi 22400",Luxury lodge with valley views,4,Medium (~$35–60),Karahi Event Spot,"479V+CH5, Tulsipur 22412",3.8,High (~$90+),Rostar restaurant,"48GJ+JG3, Tulsipur 22412",3.9,Low (~$10–20),Dovan Restaurant,"48P2+5QQ, Tulsipur 22412",4,Medium (~$35–60),Hotel Mala Inn Pvt Ltd,"2FQP+9XM, Main Road, Ghorahi 22400",Budget-friendly; simple rooms,3.8,High (~$90+),Vingreli Village Resort, Ghorahi 22400,Family-run; cozy stay,3.9,Low (~$10–20),Hotel City Plaza Pvt. Ltd.,"2FQP+RJV, Ghorahi 22400",Luxury lodge with valley views,4,Medium (~$35–60),Karahi Event Spot,"479V+CH5, Tulsipur 22412",3.8,High (~$90+),Rostar restaurant,"48GJ+JG3, Tulsipur 22412",3.9,Low (~$10–20),Dovan Restaurant,"48P2+5QQ, Tulsipur 22412",4,Medium (~$35–60),NO,NO,NO,NO,NO
844,kothi river,arghakhanchi,Oct–Mar,River; Nature; Scenic,Natural Attractions,Sightseeing; Photography; Picnic,Easy,Road Accessible,27.82,83.3,5,"The Kothi River flows through mid-western Nepal, nourishing villages and terraced fields. It is a lifeline for agriculture and a scenic feature for travelers. Its banks often host small shrines and temples, reflecting the spiritual connection between rivers and rural communities.","From Kathmandu, drive southwest via Dang and Bardiya District to Kothi River.",875330,Scenic river in Dang offering fishing and natural beauty. Scenic river flowing through Dang with recreational opportunities.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
845,gaidahawa lake,rupandehi,Oct–Mar,Lake; Nature; Scenic,Natural Attractions,Photography; Sightseeing; Picnic,Easy,Road Accessible,27.43,83.24,5,"Located in Rupandehi, Gaidahawa Lake is a tranquil water body surrounded by farmland and villages. It is a habitat for migratory birds and a peaceful retreat for locals. The lake reflects the ecological richness of the Terai plains and serves as a cultural gathering spot.","From Kathmandu, drive southwest via Butwal and Rupandehi District to Gaidahawa Lake.",123321,Tranquil lake ideal for birdwatching and relaxation. Peaceful lake ideal for birdwatching and relaxation.,Buddha Maya Gardens Hotel,"Lumbini sanskritik, Lumbini 32900",Budget-friendly; simple rooms,4,High (~$90+),Hotel Kailash Lumbini,"Opposite to Gate No:-9, Vishnupura Road, Lumbini Sanskritik 32914",Family-run; cozy stay,4,Low (~$10–20),Lumbini Hotel Kasai,"Lumbini Sacred Garden | P.O.BOX65, Lumbini, Nepal, Lumbini Sanskritik 32900",Luxury lodge with lake views,4.1,Medium (~$35–60),No,No,No,No,No,No,No,No,No,No,No,No,Buddha Maya Gardens Hotel,"Lumbini sanskritik, Lumbini 32900",Budget-friendly; simple rooms,4,High (~$90+),Hotel Kailash Lumbini,"Opposite to Gate No:-9, Vishnupura Road, Lumbini Sanskritik 32914",Family-run; cozy stay,4,Low (~$10–20),Lumbini Hotel Kasai,"Lumbini Sacred Garden | P.O.BOX65, Lumbini, Nepal, Lumbini Sanskritik 32900",Luxury lodge with lake views,4.1,Medium (~$35–60),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
846,kothi minor temples,arghakhanchi,Oct–Mar,Temple; Local; Cultural,Cultural & Religious Sites,Worship; Photography; Short Walk,Easy,Road Accessible,27.825,83.305,5,"Scattered along the Kothi River and nearby settlements, minor temples preserve local traditions and folk deities. These shrines are often simple stone or mud structures, yet they hold deep spiritual significance for villagers. They embody the grassroots spirituality of rural Nepal.","From Kathmandu, drive southwest via Dang and Bardiya District to visit minor temples near Kothi.",258350,Small temples with cultural significance in Dang. Small temples with local spiritual significance.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
847,ghodaghodi lake,kailali/rupandehi,Oct–Mar,Lake; Wetland; Nature; Birdwatching,Natural Attractions,Sightseeing; Photography; Birdwatching; Boating,Easy,Road Accessible,27.69,82.92,5,"Ghodaghodi Lake in Kailali is a Ramsar-listed wetland and a sacred site for the Tharu community. Surrounded by forests and smaller ponds, it is a biodiversity hotspot with rare birds and aquatic species. The lake is tied to local mythology, making it both an ecological and cultural treasure.","From Kathmandu, drive southwest via Bhalubang and Bardiya District to Ghodaghodi Lake.",159987,Beautiful freshwater lake with diverse wildlife. Natural freshwater lake with rich biodiversity.,NO,NO,NO,NO,NO,Ghodaghodi Paradise Cottage,"MWJX+M7H, Ghodaghodi 10900",Family-run; cozy homestay,4,Low (~$10–20),OYO 579 Ghodaghodi Lake Palace,"Ghodaghodi Lake Palace Eastern highway ,ghodaghodi, Dhangadhi 10900",Luxury lodge with lake and forest views,4.2,Medium (~$35–60),No,No,No,No,No,No,No,No,Hangout cafe,Dhangadi 10900,4.2,Medium (~$35–60),NO,NO,NO,NO,NO,Ghodaghodi Paradise Cottage,"MWJX+M7H, Ghodaghodi 10900",Family-run; cozy homestay,4,Low (~$10–20),OYO 579 Ghodaghodi Lake Palace,"Ghodaghodi Lake Palace Eastern highway ,ghodaghodi, Dhangadhi 10900",Luxury lodge with lake and forest views,4.2,Medium (~$35–60),No,No,No,No,No,No,No,No,Hangout cafe,Dhangadi 10900,4.2,Medium (~$35–60),NO,NO,NO,NO,NO
848,devdaha ancient monuments minor sites,rupandehi,Oct–Mar,Heritage; Cultural; Historical,Cultural & Religious Sites,Sightseeing; Photography; Cultural Tour,Easy,Road Accessible,27.528,83.35,5,"Devdaha, near Lumbini, is believed to be the maternal home of Queen Maya Devi. Minor monuments and archaeological sites scattered here connect to Buddhist history. These ruins and shrines highlight Devdaha’s role in the broader Lumbini heritage circuit.","From Kathmandu, drive southwest via Butwal and Rupandehi District to Devdaha minor sites.",357652,Historical Buddhist sites in Rupandehi. Historical Buddhist sites linked to Lord Buddha.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
849,tansen lesser waterfalls,palpa,Oct–Mar,Waterfall; Nature; Offbeat,Natural Attractions,Sightseeing; Photography; Short Hike,Easy,Road + Short Hike,27.885,83.548,5,"Beyond its cultural landmarks, Tansen in Palpa hosts lesser-known waterfalls in nearby hills. These cascades are hidden gems for trekkers, offering natural beauty alongside the town’s historic charm. They complement Tansen’s reputation as both a cultural and ecological destination.","From Kathmandu, drive west via Prithvi Highway to Tansen and local roads to visit lesser waterfalls.",654987,Hidden waterfalls around Tansen town. Small hidden waterfalls around Tansen.,City View Home Stay,Tansen 32500,Budget-friendly; simple rooms,4.1,High (~$90+),Hotel The Ranimahal,Tansen 32500,Family-run; cozy stay,4.2,Low (~$10–20),"BULBUL FARM RETREAT, Farmstay, Farmfun, Farmfood","Bartung - Tansen Rd, Tansen 32500",Luxury lodge with scenic views,3.9,Medium (~$35–60),No,No,No,No,No,No,No,No,No,No,No,No,City View Home Stay,Tansen 32500,Budget-friendly; simple rooms,4.1,High (~$90+),Hotel The Ranimahal,Tansen 32500,Family-run; cozy stay,4.2,Low (~$10–20),"BULBUL FARM RETREAT, Farmstay, Farmfun, Farmfood","Bartung - Tansen Rd, Tansen 32500",Luxury lodge with scenic views,3.9,Medium (~$35–60),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
850,arghakhanchi,arghakhanchi,Oct–Feb,"Hills, Culture",Natural Attractions,"Village Walks, Photography",Easy,Road accessible,28.133,83.205,5,"Arghakhanchi District is known for its rolling hills, terraced fields, and cultural diversity. It is a gateway between the Terai and hill regions, with temples, viewpoints, and traditional villages. The district reflects Nepal’s mid-hill lifestyle and agricultural heritage.","From Kathmandu, drive west via Prithvi Highway and local roads to Arghakhanchi District.From Kathmandu, drive west via Prithvi Highway to Arghakhanchi District.",321900,Hilly district with scenic landscapes and cultural sites. Hilly district with cultural and natural attractions.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Arghakhanchi Highland Cultural Trek,Hill / Village,Spring,Adventure / Cultural,Trekking and folk performances.
851,kapilvastu,kapilvastu,Oct–Feb,"Cultural, Religious",Cultural & Religious Sites,"Sightseeing, Photography",Easy,Road accessible,27.5,83,5,"Kapilvastu District is historically significant as the childhood home of Siddhartha Gautama, the Buddha. Tilaurakot, the ancient palace site, is its centerpiece. The district combines archaeological ruins with living Buddhist traditions, making it a spiritual and historical landmark.","From Kathmandu, drive southwest via Butwal to Kapilvastu District.",987136,"Birthplace of Lord Buddha with historical monuments. Historical district, birthplace of Lord Buddha.",Hotel Tilaurakot Internation Pvt. Ltd.,"H335+5G4, Kapilvastu 32800",Budget-friendly; simple rooms,4,High (~$90+),"Hotel Gautam Buddha","H332+4X7, Kapilvastu 32800",Family-run; cozy stay,4,Low (~$10–20),Hotel palm,"H322+WX2, Kapilvastu 32800",Luxury lodge with valley views,4.1,Medium (~$35–60),New Paudel Restaurant,"G3R2+W9, Kapilvastu 32800",4,High (~$90+),Luscious Lounge & Restro,"h335+5g4, Kapilvastu 32800",4,Low (~$10–20),No,No,No,No,Hotel Tilaurakot Internation Pvt. Ltd.,"H335+5G4, Kapilvastu 32800",Budget-friendly; simple rooms,4,High (~$90+),"Hotel Gautam Buddha","H332+4X7, Kapilvastu 32800",Family-run; cozy stay,4,Low (~$10–20),Hotel palm,"H322+WX2, Kapilvastu 32800",Luxury lodge with valley views,4.1,Medium (~$35–60),New Paudel Restaurant,"G3R2+W9, Kapilvastu 32800",4,High (~$90+),Luscious Lounge & Restro,"h335+5g4, Kapilvastu 32800",4,Low (~$10–20),No,No,No,No,NO,NO,NO,NO,NO
852,rupandehi,rupandehi,Oct–Feb,"Cultural, Religious",Cultural & Religious Sites,"Sightseeing, Photography",Easy,Road accessible,27.52,83.45,5,"Rupandehi District is home to Lumbini, the birthplace of the Buddha. Beyond Lumbini, Rupandehi features cultural villages, lakes, and shrines. It is a blend of global pilgrimage and local Terai traditions, offering both spiritual depth and cultural diversity","From Kathmandu, drive southwest via Narayangadh and Butwal to Rupandehi District.From Kathmandu, drive southwest via Butwal to Rupandehi District.",654875,"District with Lumbini, cultural sites, and rural landscapes. District with Lumbini and rural cultural sites.",Gautam Buddha Airport Hotel - Luxury Hotel in Bhairahawa,"Siddharthanagar-10, Siddharthanagar 32900",Popular mid-range hotel with restaurant & event facilities.,4.4,Low (~$10–20),Hotel Star Holiday,"Belhiya, Siddharthanagar-1, Lumbini Region, Siddharthanagar 32900","4-star hotel, luxury interiors, excellent service quality.",4.2,Medium (~$35–60),Siddhartha Vilasa,Siddharthanagar 32900,"Simple, family-run inn close to the archaeological site.",4.1,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Gautam Buddha Airport Hotel - Luxury Hotel in Bhairahawa,"Siddharthanagar-10, Siddharthanagar 32900",Popular mid-range hotel with restaurant & event facilities.,4.4,Low (~$10–20),Hotel Star Holiday,"Belhiya, Siddharthanagar-1, Lumbini Region, Siddharthanagar 32900","4-star hotel, luxury interiors, excellent service quality.",4.2,Medium (~$35–60),Siddhartha Vilasa,Siddharthanagar 32900,"Simple, family-run inn close to the archaeological site.",4.1,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
853,palpa,palpa,Oct–Feb,"Hills, Scenic",Natural Attractions,"Sightseeing, Trekking",Moderate,Road + Trek,27.883,83.537,5,"Palpa District is famous for Tansen, its hill town rich in Newari and Magar culture. Palpa is also known for Palpali Dhaka fabric, traditional temples, and scenic viewpoints. It is a district where history, craft, and natural beauty converge.","From Kathmandu, drive west via Prithvi Highway and Tansen to Palpa District.From Kathmandu, drive west via Prithvi Highway to Tansen and Palpa District.",125700,"District with Tansen town, heritage, and hilltop views. Hilly district known for Tansen, heritage, and scenic landscapes.",City View Home Stay,Tansen 32500,Budget hotel with decent service,3.9,Low (~$15–25),Hotel The Ranimahal,Tansen 32500,"Comfortable mid-range hotel, good location",4,Medium (~$35–55),"BULBUL FARM RETREAT, Farmstay, Farmfun, Farmfood","Bartung - Tansen Rd, Tansen 32500",Premium stay with hill views & heritage-style decor,4.2,High (~$80+),No,No,No,No,No,No,No,No,No,No,No,No,City View Home Stay,Tansen 32500,Budget hotel with decent service,3.9,Low (~$15–25),Hotel The Ranimahal,Tansen 32500,"Comfortable mid-range hotel, good location",4,Medium (~$35–55),"BULBUL FARM RETREAT, Farmstay, Farmfun, Farmfood","Bartung - Tansen Rd, Tansen 32500",Premium stay with hill views & heritage-style decor,4.2,High (~$80+),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
854,bardiya tiny shrine,bardiya,Oct–Nov,"Spiritual, Shrine",Cultural & Religious Sites,"Temple Visit, Photography",Easy,Road accessible,28.296,81.532,5,"Tiny shrines scattered across Bardiya’s villages reflect Tharu spirituality. These small structures, often near fields or homes, are dedicated to local deities and ancestors. They embody the intimate connection between daily life and faith.
","From Kathmandu, drive southwest via Gularia to Bardiya District to visit tiny shrine.",136159,Small spiritual site within Bardiya National Park. Small temple offering local spiritual significance.,Comfort Inn Lakhimpur Hotel,"DC Rd, near Saujanya Chowk, Police Line, Lakhimpur, Uttar Pradesh 262701, India",“Local guesthouse near shrine – simple accommodation”,3.9,Low (~$20-30),"Bardia Wildlife Resort, Paradise","Unnamed Road, 21800",“Comfortable hotel near shrine with amenities”,4,Medium (~$35-60),Hotel Pahuna Ghar,"Dhamboji, Nepalgunj 21900","“Luxury resort near shrine, better service”",4.2,High (~$80+),No,No,No,No,No,No,No,No,No,No,No,No,Comfort Inn Lakhimpur Hotel,"DC Rd, near Saujanya Chowk, Police Line, Lakhimpur, Uttar Pradesh 262701, India",“Local guesthouse near shrine – simple accommodation”,3.9,Low (~$20-30),"Bardia Wildlife Resort, Paradise","Unnamed Road, 21800",“Comfortable hotel near shrine with amenities”,4,Medium (~$35-60),Hotel Pahuna Ghar,"Dhamboji, Nepalgunj 21900","“Luxury resort near shrine, better service”",4.2,High (~$80+),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
855,dang minor temple,dang,Oct–Nov,"Spiritual, Temple",Cultural & Religious Sites,"Temple Visit, Photography",Easy,Road accessible,28.017,82.493,5,Dang hosts numerous minor temples dedicated to Hindu gods and local spirits. These temples are integral to community rituals and seasonal festivals. They highlight the valley’s cultural vibrancy beyond its ecological fame.,"From Kathmandu, drive southwest via Tulsipur to Dang District to visit minor temple.",652654,Small temple offering spiritual significance in Dang district. Small temples offering local spiritual significance.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
856,siddha baba temple (butwal area),rupandehi,Oct-Mar,"Religious, Cultural",Cultural & Religious Sites,"Pilgrimage, Local Festivals",Easy,"Road, Easy",27.7,83.45,5,"Siddha Baba Temple, located near Butwal, is a popular pilgrimage site along the Siddhartha Highway. Devotees stop here to offer prayers for safe journeys. The temple is perched on a hill, blending spiritual devotion with scenic views.","From Kathmandu, drive southwest via Narayangadh and Butwal to Siddha Baba Temple.",125159,Popular local temple in Butwal with religious importance. Popular local temple with religious importance.,Hotel Span,"Tribhuvan Path, Butwal 32907","Comfortable resort amid greenery, near monastic zone.",4.2,Low (~$10–25),Hotel Avenue,"Golpark, Butwal 32907","5-star resort with casino, pool & spa facilities.",4,Medium (~$30–60),Dream International Hotel,"kalikapath, Butwal 12486",Popular mid-range hotel with restaurant & event facilities.,4.1,High (~$80+),No,No,No,No,No,No,No,No,No,No,No,No,Hotel Span,"Tribhuvan Path, Butwal 32907","Comfortable resort amid greenery, near monastic zone.",4.2,Low (~$10–25),Hotel Avenue,"Golpark, Butwal 32907","5-star resort with casino, pool & spa facilities.",4,Medium (~$30–60),Dream International Hotel,"kalikapath, Butwal 12486",Popular mid-range hotel with restaurant & event facilities.,4.1,High (~$80+),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
857,tila village (rupandehi rural tourism example),rupandehi,Oct-Mar,"Rural, Cultural",Cultural & Religious Sites,"Homestay, Cultural Tours",Easy,"Road, Easy",27.6,83.3,5,"Tila Village in Rupandehi showcases rural tourism, with homestays and cultural programs. Visitors experience Tharu traditions, local cuisine, and agricultural practices. The village is an example of community-based tourism, blending livelihood with heritage preservation.","From Kathmandu, drive southwest via Butwal to Tila Village in Rupandehi.",136654,Model rural tourism village with cultural experiences. Example of rural tourism with cultural experiences.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
858,rupandehi cultural sites (siddharthanagar),rupandehi,Oct-Mar,"Cultural, Religious",Cultural & Religious Sites,"Pilgrimage, Museum Visits",Easy,"Road, Easy",27.7,83.45,5,"Siddharthanagar, the district headquarters of Rupandehi, hosts cultural sites including temples, mosques, and community centers. It reflects the district’s diversity, where Hindu, Buddhist, and Muslim traditions coexist. The town is both a modern hub and a cultural mosaic.","From Kathmandu, drive southwest via Butwal to Siddharthanagar to explore cultural sites.",652123,Historic temples and monasteries around Siddharthanagar. Heritage temples and monasteries in Siddharthanagar.,Gautam Buddha Airport Hotel - Luxury Hotel in Bhairahawa,"Siddharthanagar-10, Siddharthanagar 32900",Spacious garden resort with comfortable rooms and dining.,4.4,Low (~$15–25),Hotel Star Holiday,"Belhiya, Siddharthanagar-1, Lumbini Region, Siddharthanagar 32900","Budget homestay for safari guests, local Tharu hospitality.",4.2,Medium (~$35–60),Siddhartha Vilasa,Siddharthanagar 32900,"Great food, guides, and wildlife tours, comfortable lodges.",4.1,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Gautam Buddha Airport Hotel - Luxury Hotel in Bhairahawa,"Siddharthanagar-10, Siddharthanagar 32900",Spacious garden resort with comfortable rooms and dining.,4.4,Low (~$15–25),Hotel Star Holiday,"Belhiya, Siddharthanagar-1, Lumbini Region, Siddharthanagar 32900","Budget homestay for safari guests, local Tharu hospitality.",4.2,Medium (~$35–60),Siddhartha Vilasa,Siddharthanagar 32900,"Great food, guides, and wildlife tours, comfortable lodges.",4.1,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO
